Incident energy;σ(E)
6.976623;20.74371
6.991899;20.07124
7.007175;19.46968
7.022451;18.92852
7.037727;18.43923
7.053003;17.99478
7.068279;17.58935
7.083555;17.21806
7.114107;16.56213
7.144659;16.00105
7.17521;15.51576
7.205762;15.09189
7.236314;14.71853
7.266866;14.38715
7.297418;14.09105
7.32797;13.82487
7.358522;13.58426
7.389074;13.36568
7.419625;13.16624
7.450177;12.98347
7.480729;12.81537
7.541833;12.51649
7.602937;12.25869
7.633489;12.14258
7.648765;12.08735
7.656403;12.0604
7.66404;12.03388
7.67529;11.99558
7.68654;11.95815
7.695577;11.9287
7.704614;11.89978
7.722688;11.84346
7.758836;11.73658
7.831132;11.54315
7.903428;11.37263
7.975723;11.221
8.048019;11.08513
8.120314;10.96253
8.19261;10.85122
8.264905;10.74959
8.337201;10.6563
8.409497;10.57028
8.554088;10.4165
8.698679;10.28253
8.84327;10.16422
8.987862;10.05847
9.132453;9.962955
9.277044;9.87585
9.421635;9.795736
9.566227;9.721478
9.710818;9.652161
9.855409;9.587036
9.927705;9.555848
10.0;9.525485
10.02854;9.513713
10.05708;9.502055
10.08562;9.49051
10.09989;9.484779
10.11415;9.479079
10.12842;9.473401
10.13556;9.470571
10.14269;9.46775
10.14983;9.464933
10.15696;9.462126
10.1641;9.459323
10.17123;9.45653
10.1748;9.455134
10.17837;9.45374
10.18194;9.452349
10.1855;9.450963
10.18907;9.449576
10.19264;9.448191
10.19621;9.446809
10.19977;9.445433
10.20334;9.444058
10.20513;9.44337
10.20691;9.442687
10.2087;9.442002
10.21048;9.441322
10.21226;9.440644
10.21404;9.439969
10.21583;9.439292
10.21761;9.438622
10.21939;9.437956
10.22117;9.437295
10.22296;9.436636
10.22474;9.435987
10.22652;9.435346
10.2283;9.434714
10.2297;9.434223
10.2311;9.433738
10.2339;9.432779
10.2353;9.432297
10.2367;9.431807
10.2381;9.431301
10.2395;9.430776
10.24092;9.430221
10.24233;9.429649
10.24374;9.429062
10.24515;9.428465
10.24798;9.427264
10.24939;9.426671
10.2508;9.426083
10.25286;9.425234
10.25491;9.424402
10.25697;9.423575
10.25902;9.422761
10.26108;9.421949
10.26313;9.421146
10.26519;9.420344
10.26724;9.419549
10.2693;9.418753
10.27135;9.417963
10.27341;9.417171
10.27546;9.416385
10.27752;9.415597
10.27957;9.414814
10.28367;9.413251
10.28778;9.411688
10.29189;9.410128
10.296;9.408571
10.30011;9.407017
10.30422;9.405466
10.30833;9.403916
10.31244;9.402369
10.31654;9.400827
10.32476;9.397743
10.33298;9.394666
10.3412;9.391597
10.34941;9.388539
10.36584;9.382439
10.38227;9.376367
10.39871;9.370319
10.41514;9.3643
10.448;9.352338
10.48087;9.340472
10.51373;9.328704
10.57946;9.305438
10.64519;9.282515
10.77665;9.237607
10.90812;9.193807
11.03958;9.150972
11.10531;9.129871
11.13818;9.119392
11.17104;9.108961
11.18748;9.103759
11.20391;9.098572
11.22034;9.093394
11.22856;9.090808
11.23677;9.088228
11.24499;9.085647
11.25321;9.083069
11.25732;9.08178
11.26143;9.080493
11.26554;9.079206
11.26964;9.077923
11.27375;9.076638
11.27786;9.075354
11.27992;9.074711
11.28197;9.074071
11.28402;9.073431
11.28607;9.072792
11.28813;9.07215
11.29018;9.071512
11.29224;9.070871
11.29429;9.070234
11.29635;9.069594
11.2984;9.068959
11.30045;9.068324
11.3025;9.067691
11.3039;9.06726
11.3053;9.066829
11.3081;9.065968
11.3095;9.065538
11.3109;9.065106
11.3123;9.064674
11.3137;9.064239
11.31512;9.063796
11.31653;9.063353
11.31794;9.062909
11.31935;9.062465
11.32218;9.061572
11.32359;9.061127
11.325;9.060684
11.327;9.060055
11.329;9.059428
11.331;9.058802
11.333;9.058177
11.335;9.057553
11.337;9.05693
11.339;9.056306
11.341;9.055684
11.343;9.055061
11.345;9.054439
11.347;9.053818
11.349;9.053196
11.353;9.051954
11.35699;9.050716
11.36099;9.049475
11.36499;9.048235
11.36899;9.046996
11.37299;9.045757
11.38099;9.043281
11.38898;9.040811
11.39698;9.038339
11.40498;9.035869
11.42097;9.030939
11.43696;9.026016
11.45295;9.0211
11.48494;9.011287
11.51693;9.001501
11.5809;8.982006
11.70885;8.94328
11.8368;8.904842
12.34859;8.752566
12.86039;8.59964
13.37218;8.442448
13.88398;8.277479
14.39577;8.100998
14.90756;7.908662
15.41935;7.695086
15.67525;7.578211
15.93115;7.453198
16.18705;7.318739
16.44294;7.173276
16.69884;7.014899
16.95474;6.841285
17.21064;6.649542
17.46653;6.43604
17.72243;6.196118
17.97833;5.92377
18.10628;5.773055
18.23423;5.611078
18.36218;5.436424
18.49012;5.247462
18.61807;5.042234
18.74602;4.818491
18.87397;4.57357
19.00191;4.304364
19.12986;4.007158
19.25781;3.677709
19.32179;3.499385
19.38576;3.311174
19.41775;3.213127
19.44973;3.112385
19.46573;3.060934
19.47373;3.034944
19.48172;3.008809
19.48972;2.982464
19.49372;2.969225
19.49771;2.955978
19.50171;2.942655
19.50571;2.929293
