Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75
32,1.3,0.34388,0.311187,0.0721153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08738E-17,6.21843E-05,0.104119,0.130851,0.0145984,0.0127046,0.0111921,0.0095555,0.00760157,0.00586793,0.00456528,0.00316693,0.00373883,0.002403,0.000668591,9.14374E-05,2.04316E-07,4.21154E-11,3.09053E-15,7.50225E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1.15,0.407801,0.311783,0.269384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53543E-21,6.32188E-08,0.000389733,0.109733,0.0448632,0.0262449,0.0200172,0.0180346,0.0161577,0.0142862,0.0128814,0.0104278,0.0153225,0.0144138,0.00697865,0.00202169,1.06606E-05,2.2369E-08,7.28987E-12,3.98284E-14,1.05265E-15,7.26517E-17,9.1236E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1.123,0.425671,0.311791,0.339741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05304E-09,2.34765E-05,0.0242236,0.0638561,0.0534162,0.0304545,0.0215981,0.0183888,0.0165311,0.0153414,0.0128236,0.0197695,0.0202877,0.0111704,0.00387699,0.000029522,3.55322E-08,3.78722E-11,2.44343E-13,7.14856E-15,5.68708E-16,4.41259E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1.097,0.42002,0.311787,0.331489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.14853E-10,7.63007E-06,0.00529218,0.0199489,0.0630821,0.0542124,0.0307502,0.021091,0.0179799,0.0168128,0.0143121,0.0227309,0.0247023,0.0148813,0.00592343,6.02034E-05,9.26812E-08,1.32509E-10,9.91954E-13,3.18644E-14,2.70883E-15,1.98132E-16,2.514E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1.071,0.408326,0.311822,0.300335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12773E-10,2.45821E-06,0.00147615,0.00415947,0.0198263,0.0639178,0.0546685,0.0299486,0.0206904,0.0183317,0.0157103,0.0256042,0.0293359,0.0192524,0.0087794,0.000118489,2.66051E-07,4.46633E-10,3.88031E-12,1.36943E-13,1.24651E-14,9.72088E-16,1.91904E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1.045,0.396838,0.311891,0.266733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3036E-11,7.68065E-07,0.000486707,0.00107953,0.00411557,0.0200068,0.0647886,0.0535874,0.0296958,0.0212618,0.0171944,0.0283693,0.0341037,0.0242853,0.0126875,0.000226798,6.9397E-07,1.46658E-09,1.48047E-11,5.74372E-13,5.60303E-14,4.71704E-15,6.47634E-17,1.91428E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1.02,0.387957,0.311979,0.239285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2973E-11,2.37987E-07,0.000169843,0.000357994,0.00109946,0.00426897,0.0208724,0.0639669,0.0528265,0.0306018,0.020051,0.0311432,0.038743,0.0297361,0.0177245,0.000415118,1.67751E-06,4.53741E-09,5.30302E-11,2.25668E-12,2.3555E-13,2.13345E-14,3.44772E-16,6.12137E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.996,0.38171,0.312072,0.219356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19621E-12,7.45284E-08,6.09215E-05,0.000130561,0.000380238,0.00119646,0.00469237,0.0214311,0.0630508,0.0536766,0.0288344,0.0355271,0.0431113,0.0353562,0.0238967,0.000723127,3.83533E-06,0,1.76452E-10,8.2124E-12,9.15405E-13,8.90322E-14,1.61635E-15,1.77872E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.972,0.377343,0.312166,0.205022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70418E-13,2.29666E-08,2.17576E-05,4.79918E-05,0.000140833,0.000419881,0.00133072,0.00491736,0.021261,0.0639086,0.0507553,0.0479496,0.0476596,0.0411164,0.0314086,0.00121966,8.42448E-06,8.57786E-09,5.65946E-10,2.88093E-11,3.43015E-12,3.58495E-13,7.24629E-15,7.63501E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.95,0.374358,0.312255,0.194994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88733E-13,7.19934E-09,7.95908E-06,1.81275E-05,5.41738E-05,0.000162604,0.000486294,0.00145594,0.005161,0.0229356,0.0609453,0.0780984,0.0544414,0.0466291,0.0398908,0.00195146,1.72773E-05,3.88574E-08,1.65545E-09,9.16817E-11,1.16161E-11,1.29946E-12,2.90107E-14,3.833E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.91,0.371583,0.312392,0.185367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5101E-14,1.32362E-09,1.82127E-06,4.35207E-06,1.33991E-05,4.12696E-05,0.000124948,0.000352161,0.000990264,0.00337433,0.0121624,0.0894633,0.091352,0.0551602,0.0554408,0.00385939,5.08826E-05,1.75301E-07,6.14856E-09,0,7.86989E-11,9.89377E-12,2.62452E-13,4.04489E-15,5.16788E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.85,0.369488,0.312612,0.177613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24096E-16,7.37415E-11,1.48509E-07,3.87136E-07,1.2622E-06,4.09873E-06,1.30201E-05,3.79753E-05,0.000104162,0.000290723,0.000734911,0.00791877,0.108976,0.0975755,0.0864267,0.0102731,0.000253653,1.60363E-06,4.70844E-08,6.18866E-09,6.95394E-09,0,7.82815E-12,1.62401E-13,3.30418E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0.78,0.369661,0.312881,0.177188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86305E-17,1.34826E-12,4.72502E-09,1.40073E-08,4.99674E-08,1.76764E-07,6.09277E-07,1.91535E-06,5.61363E-06,1.64816E-05,4.13635E-05,0.000314206,0.00641222,0.118435,0.158469,0.0277401,0.00142376,1.88262E-05,8.21191E-07,8.10869E-08,1.57641E-08,4.96901E-09,0,1.12043E-11,3.76637E-14,2.59673E-17,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.625,0.377207,0.313475,0.200913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77024E-16,3.42317E-12,1.21581E-11,4.97398E-11,2.01584E-10,7.96029E-10,2.85511E-09,9.48856E-09,3.1486E-08,8.84946E-08,7.89772E-07,1.42033E-05,0.00039632,0.143869,0.141515,0.0257989,0.00164795,0.000184548,3.37408E-05,1.06198E-05,3.32667E-06,3.29023E-07,2.11199E-08,2.79611E-10,1.98034E-12,7.97559E-16,1.62353E-17,0,0,0,0,0,0,0,0,0,0,0
