E	chi
2.7000E+06	1.6510E-07
2.7595E+06	1.5963E-07
2.8000E+06	1.5600E-07
2.8252E+06	1.5375E-07
2.8924E+06	1.4789E-07
2.9000E+06	1.4725E-07
2.9612E+06	1.4208E-07
3.0000E+06	1.3890E-07
3.0317E+06	1.3630E-07
3.1000E+06	1.3089E-07
3.1039E+06	1.3059E-07
3.1777E+06	1.2493E-07
3.2000E+06	1.2329E-07
3.2533E+06	1.1935E-07
3.3000E+06	1.1603E-07
3.3308E+06	1.1384E-07
3.4000E+06	1.0911E-07
3.4100E+06	1.0843E-07
3.4912E+06	1.0311E-07
3.5000E+06	1.0255E-07
3.5743E+06	9.7892E-08
3.6000E+06	9.6347E-08
3.6593E+06	9.2786E-08
3.7000E+06	9.0456E-08
3.7464E+06	8.7798E-08
3.8000E+06	8.4874E-08
3.8356E+06	8.2933E-08
3.9000E+06	7.9592E-08
3.9269E+06	7.8199E-08
4.0000E+06	7.4600E-08
4.0203E+06	7.3600E-08
4.1000E+06	6.9888E-08
4.1160E+06	6.9143E-08
4.2000E+06	6.5444E-08
4.2139E+06	6.4830E-08
4.3000E+06	6.1257E-08
4.3142E+06	6.0667E-08
4.4000E+06	5.7316E-08
4.4169E+06	5.6656E-08
4.5000E+06	5.3608E-08
4.5220E+06	5.2801E-08
4.6000E+06	5.0122E-08
4.6296E+06	4.9104E-08
4.7000E+06	4.6845E-08
4.7398E+06	4.5566E-08
4.8000E+06	4.3765E-08
4.8526E+06	4.2190E-08
4.9000E+06	4.0870E-08
4.9681E+06	3.8974E-08
5.0000E+06	3.8149E-08
5.0863E+06	3.5919E-08
5.1000E+06	3.5592E-08
5.2000E+06	3.3200E-08
5.2074E+06	3.3024E-08
5.3000E+06	3.0979E-08
5.3313E+06	3.0288E-08
5.4000E+06	2.8892E-08
5.4582E+06	2.7709E-08
5.5000E+06	2.6929E-08
5.5881E+06	2.5285E-08
5.6000E+06	2.5081E-08
5.7000E+06	2.3372E-08
5.7211E+06	2.3012E-08
5.8000E+06	2.1780E-08
5.8572E+06	2.0887E-08
5.9000E+06	2.0279E-08
5.9966E+06	1.8906E-08
6.0000E+06	1.8862E-08
6.1000E+06	1.7572E-08
6.1393E+06	1.7065E-08
6.2000E+06	1.6356E-08
6.2854E+06	1.5359E-08
6.3000E+06	1.5205E-08
6.4000E+06	1.4152E-08
6.4350E+06	1.3783E-08
6.5000E+06	1.3167E-08
6.5881E+06	1.2332E-08
6.6000E+06	1.2231E-08
6.7000E+06	1.1382E-08
6.7449E+06	1.1000E-08
6.8000E+06	1.0582E-08
6.9000E+06	9.8233E-09
6.9055E+06	9.7819E-09
7.0000E+06	9.1427E-09
7.0698E+06	8.6710E-09
7.1000E+06	8.4897E-09
7.2000E+06	7.8897E-09
7.2380E+06	7.6616E-09
7.3000E+06	7.3328E-09
7.4000E+06	6.8022E-09
7.4103E+06	6.7476E-09
7.5000E+06	6.3282E-09
7.5866E+06	5.9231E-09
7.6000E+06	5.8682E-09
7.7000E+06	5.4577E-09
7.7672E+06	5.1819E-09
7.8000E+06	5.0640E-09
7.9000E+06	4.7049E-09
7.9520E+06	4.5181E-09
8.0000E+06	4.3680E-09
8.1000E+06	4.0550E-09
8.1413E+06	3.9258E-09
8.2000E+06	3.7663E-09
8.3000E+06	3.4947E-09
8.3350E+06	3.3995E-09
8.4000E+06	3.2469E-09
8.5000E+06	3.0120E-09
8.5334E+06	2.9335E-09
8.6000E+06	2.7987E-09
8.7000E+06	2.5964E-09
8.7365E+06	2.5226E-09
8.8000E+06	2.4124E-09
8.9000E+06	2.2388E-09
8.9444E+06	2.1617E-09
9.0000E+06	2.0793E-09
9.1000E+06	1.9310E-09
9.1572E+06	1.8461E-09
9.2000E+06	1.7932E-09
9.3000E+06	1.6695E-09
9.3752E+06	1.5765E-09
9.4000E+06	1.5505E-09
9.5000E+06	1.4456E-09
9.5983E+06	1.3425E-09
9.6000E+06	1.3410E-09
9.7000E+06	1.2521E-09
9.8000E+06	1.1632E-09
9.8267E+06	1.1395E-09
9.9000E+06	1.0812E-09
1.0000E+07	1.0089E-09
1.0100E+07	9.3669E-10
1.0200E+07	8.7409E-10
1.0300E+07	8.1149E-10
1.0400E+07	7.5620E-10
1.0500E+07	7.0092E-10
1.0600E+07	6.5316E-10
1.0700E+07	6.0541E-10
1.0800E+07	5.6417E-10
1.0900E+07	5.2292E-10
1.1000E+07	4.8729E-10
1.1100E+07	4.5166E-10
1.1200E+07	4.2090E-10
1.1300E+07	3.9013E-10
1.1400E+07	3.6355E-10
1.1500E+07	3.3697E-10
1.1600E+07	3.1401E-10
1.1700E+07	2.9105E-10
1.1800E+07	2.7122E-10
1.1900E+07	2.5139E-10
1.2000E+07	2.3427E-10
1.2100E+07	2.1714E-10
1.2200E+07	2.0235E-10
1.2300E+07	1.8755E-10
1.2400E+07	1.7477E-10
1.2500E+07	1.6199E-10
1.2600E+07	1.5096E-10
1.2700E+07	1.3992E-10
1.2800E+07	1.3039E-10
1.2900E+07	1.2086E-10
1.3000E+07	1.1262E-10
1.3100E+07	1.0439E-10
1.3200E+07	9.7020E-11
1.3400E+07	8.3800E-11
1.3500E+07	7.7882E-11
1.3600E+07	7.2576E-11
1.3700E+07	6.7270E-11
1.3800E+07	6.2687E-11
1.3900E+07	5.8104E-11
1.4000E+07	5.4145E-11
1.4100E+07	5.0186E-11
1.4200E+07	4.6642E-11
1.4400E+07	4.0287E-11
