E	sigma_t	sigma_s
4.19732500E+00	9.02705900E+00	8.20157600E+00
4.26869700E+00	9.03661900E+00	8.16421700E+00
4.28654000E+00	9.04618100E+00	8.15449300E+00
4.30438300E+00	9.06615600E+00	8.14462100E+00
4.31330500E+00	9.08443700E+00	8.13963400E+00
4.32222600E+00	9.11264100E+00	8.13461500E+00
4.33114800E+00	9.15560300E+00	8.12956300E+00
4.34006900E+00	9.21884500E+00	8.12448000E+00
4.34709000E+00	9.28612400E+00	8.12045600E+00
4.35411000E+00	9.37019100E+00	8.11641200E+00
4.36815000E+00	9.58287700E+00	8.10826100E+00
4.38500300E+00	9.85979400E+00	8.09836600E+00
4.39342900E+00	9.96752300E+00	8.09337200E+00
4.40185500E+00	1.00310200E+01	8.08834700E+00
4.40748000E+00	1.00429700E+01	8.08497500E+00
4.41313100E+00	1.00290800E+01	8.08157300E+00
4.41878200E+00	9.99041000E+00	8.07815700E+00
4.43008400E+00	9.85287700E+00	8.07128000E+00
4.44597800E+00	9.59319300E+00	8.06151000E+00
4.45960200E+00	9.38625600E+00	8.05303900E+00
4.46641400E+00	9.30291600E+00	8.04877100E+00
4.47322500E+00	9.23514000E+00	8.04448000E+00
4.48003700E+00	9.18212000E+00	8.04016600E+00
4.48684900E+00	9.14197300E+00	8.03582900E+00
4.50047200E+00	9.09081500E+00	8.02708700E+00
4.51409600E+00	9.06417500E+00	8.01825000E+00
4.52771900E+00	9.05011300E+00	8.00931600E+00
4.55723700E+00	9.03702800E+00	7.98960200E+00
4.58675500E+00	9.03282100E+00	7.96940000E+00
4.64579000E+00	9.03293900E+00	7.92762700E+00
4.76386000E+00	9.05021100E+00	7.83645400E+00
4.88193000E+00	9.08088100E+00	7.73650300E+00
5.00000000E+00	9.12848700E+00	7.62478900E+00
5.10388700E+00	9.18973400E+00	7.51427800E+00
5.20777300E+00	9.27551900E+00	7.38992000E+00
5.31165900E+00	9.39439800E+00	7.24905200E+00
5.41554500E+00	9.55952800E+00	7.08788200E+00
5.51943200E+00	9.78758700E+00	6.90237700E+00
5.57137500E+00	9.93395600E+00	6.79852500E+00
5.62331800E+00	1.01112800E+01	6.68495800E+00
5.67526100E+00	1.03248100E+01	6.56099900E+00
5.72720400E+00	1.05833000E+01	6.42518300E+00
